Day ,Box Collection per day,Total Box Office Collection
1,10000000,10000000
2,9500000,19500000
3,9300000,28800000
4,9200000,38000000
5,9000000,47000000
6,8700000,55700000
7,9500000,65200000
8,8000000,73200000
9,7800000,81000000
10,7600000,88600000
11,7200000,95800000
12,6700000,102500000
13,6500000,109000000
14,6300000,115300000
15,6500000,121800000
16,6200000,128000000
17,6100000,134100000
18,6000000,140100000
19,5900000,146000000
20,5800000,151800000
21,5700000,157500000
22,5600000,163100000
23,5100000,168200000
24,5230000,173430000
25,5007000,178437000
26,4800000,183237000
27,4390000,187627000
28,4200000,191827000
29,4080000,195907000
30,4200000,200107000
31,4010000,204117000
32,3900000,208017000
33,3890000,211907000
34,4000000,215907000
35,3908000,219815000
36,3800000,223615000
37,3890000,227505000
38,3700000,231205000
39,3760000,234965000
40,3560000,238525000
41,3456000,241981000
42,3300000,245281000
43,3200000,248481000
44,3156000,251637000
45,3200000,254837000
46,3100000,257937000
47,3024000,260961000
48,2980000,263941000
49,2900000,266841000
50,2845000,269686000
51,2800000,272486000
52,2785642,275271642
53,2772687,278044329
54,2747900,280792229
55,2736432,283528661
56,2733017,286261678
57,2719626,288981304
58,2718783,291700087
59,2717681,294417768
60,2690146,297107914
61,2690058,299797972
62,2689888,302487860
63,2676732,305164592
64,2639229,307803821
65,2607451,310411272
66,2604148,313015420
67,2516299,315531719
68,2513289,318045008
69,2509694,320554702
70,2496710,323051412
71,2492675,325544087
72,2459487,328003574
73,2443373,330446947
74,2442044,332888991
75,2428856,335317847
76,2423619,337741466
77,2388360,340129826
78,2381662,342511488
79,2367702,344879190
80,2331871,347211061
81,2330476,349541537
82,2313428,351854965
83,2213733,354068698
84,2180057,356248755
85,2142507,358391262
86,2123533,360514795
87,2120126,362634921
88,2113515,364748436
89,2076019,366824455
90,2032663,368857118
91,2016335,370873453
92,2010568,372884021
93,2000517,374884538
94,1996265,376880803
95,1964699,378845502
96,1891746,380737248
97,1862081,382599329
98,1831209,384430538
99,1826386,386256924
100,1794077,388051001
101,1752651,389803652
102,1719064,391522716
103,1610648,393133364
104,1607963,394741327
105,1562491,396303818
106,1525271,397829089
107,1513771,399342860
108,1430245,400773105
109,1424952,402198057
110,1208261,403406318
111,1207082,404613400
112,1176760,405790160
113,1154935,406945095
114,1117835,408062930
115,1114403,409177333
116,1061223,410238556
117,1033979,411272535
118,1031726,412304261
119,1029602,413333863
120,1009937,414343800
121,992777,415336577
122,981134,416317711
123,968107,417285818
124,962088,418247906
125,961894,419209800
126,960828,420170628
127,955721,421126349
128,955312,422081661
129,936555,423018216
130,901248,423919464
131,900683,424820147
132,891924,425712071
133,882166,426594237
134,872161,427466398
135,862477,428328875
136,859249,429188124
137,829397,430017521
138,826730,430844251
139,816309,431660560
140,815802,432476362
141,809386,433285748
142,804869,434090617
143,797671,434888288
144,796541,435684829
145,756174,436441003
146,753497,437194500
147,748367,437942867
148,744985,438687852
149,733077,439420929
150,729977,440150906
151,717451,440868357
152,715404,441583761
153,667485,442251246
154,656948,442908194
155,653892,443562086
156,644255,444206341
157,631724,444838065
158,625607,445463672
159,563872,446027544
160,544750,446572294
161,540634,447112928
162,528006,447640934
163,519669,448160603
164,519234,448679837
165,517215,449197052
166,501147,449698199
167,500369,450198568
168,488099,450686667
169,487643,451174310
170,479386,451653696
171,475639,452129335
172,471459,452600794
173,464441,453065235
174,464084,453529319
175,459306,453988625
176,448256,454436881
177,435293,454872174
178,428205,455300379
179,425742,455726121
180,424484,456150605
181,412101,456562706
182,398750,456961456
183,396911,457358367
184,396040,457754407
185,392244,458146651
186,372616,458519267
187,372383,458891650
188,355978,459247628
189,355426,459603054
190,350243,459953297
191,324098,460277395
192,290613,460568008
193,285231,460853239
194,269769,461123008
195,267972,461390980
196,264881,461655861
197,264278,461920139
198,260417,462180556
199,258175,462438731
200,255265,462693996
201,243415,462937411
202,217432,463154843
203,210614,463365457
204,205757,463571214
205,204680,463775894
206,193081,463968975
207,173214,464142189
208,171977,464314166
209,171600,464485766
210,171265,464657031
211,164623,464821654
212,160337,464981991
213,141034,465123025
214,139313,465262338
215,138188,465400526
216,119915,465520441
217,107142,465627583
218,105125,465732708
219,103654,465836362
220,102630,465938992
221,102601,466041593
222,101633,466143226
223,100983,466244209
224,99193,466343402
225,98855,466442257
226,97056,466539313
227,90974,466630287
228,90683,466720970
229,89088,466810058
230,88545,466898603
231,88258,466986861
232,87915,467074776
233,87055,467161831
234,86276,467248107
235,85800,467333907
236,85543,467419450
237,85271,467504721
238,85008,467589729
239,84060,467673789
240,83800,467757589
241,83245,467840834
242,82638,467923472
243,82556,468006028
244,81896,468087924
245,79325,468167249
246,78505,468245754
247,77330,468323084
248,76344,468399428
249,73261,468472689
250,71611,468544300
251,70930,468615230
252,69318,468684548
253,69265,468753813
254,68037,468821850
255,68034,468889884
256,67611,468957495
257,67103,469024598
258,66816,469091414
259,66654,469158068
260,65517,469223585
261,65057,469288642
262,65035,469353677
263,64205,469417882
264,63323,469481205
265,62384,469543589
266,61326,469604915
267,61103,469666018
268,60799,469726817
269,59144,469785961
270,56432,469842393
271,53350,469895743
272,53312,469949055
273,52548,470001603
274,52216,470053819
275,50740,470104559
276,49120,470153679
277,48525,470202204
278,47122,470249326
279,45663,470294989
280,44447,470339436
281,44177,470383613
282,43948,470427561
283,43690,470471251
284,42336,470513587
285,38370,470551957
286,36801,470588758
287,36652,470625410
288,36435,470661845
289,36266,470698111
290,35262,470733373
291,34306,470767679
292,34262,470801941
293,31904,470833845
294,31240,470865085
295,29481,470894566
296,28782,470923348
297,28389,470951737
298,26717,470978454
299,25798,471004252
300,25317,471029569
301,21277,471050846
302,20857,471071703
303,20661,471092364
304,20629,471112993
305,19566,471132559
306,19103,471151662
307,18835,471170497
308,18800,471189297
309,18459,471207756
310,17938,471225694
311,17428,471243122
312,16250,471259372
313,15628,471275000
314,14716,471289716
315,14171,471303887
316,12374,471316261
317,11243,471327504
318,10693,471338197
319,10638,471348835
320,10397,471359232
321,10159,471369391
322,10111,471379502
323,10016,471389518
324,9350,471398868
325,9325,471408193
326,9042,471417235
327,8862,471426097
328,8369,471434466
329,8260,471442726
330,8216,471450942
331,7846,471458788
332,7709,471466497
333,7675,471474172
334,7661,471481833
335,7404,471489237
336,7336,471496573
337,6992,471503565
338,6770,471510335
339,6571,471516906
340,5671,471522577
341,5415,471527992
342,5356,471533348
343,5354,471538702
344,5047,471543749
345,5019,471548768
346,4964,471553732
347,4878,471558610
348,4628,471563238
349,4384,471567622
350,4103,471571725
351,4088,471575813
352,3616,471579429
353,3353,471582782
354,3263,471586045
355,3257,471589302
356,3130,471592432
357,3014,471595446
358,2955,471598401
359,2953,471601354
360,2932,471604286
361,2931,471607217
362,2761,471609978
363,2698,471612676
364,2695,471615371
365,2562,471617933
